                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3247,                 1.5732,                 1.1798,                  1.232,                 0.6943,                0.60202,                0.66054,                0.41534,                0.67356,                0.58403,                0.62001,                0.32679,                 1.2147,                 1.3438,                 1.1084,                 1.1927,             0.00066622,             0.00066622,             0.00066622
                      2,                 1.3435,                 1.5866,                 1.2168,                 1.2413,                0.68113,                0.60106,                0.65292,                0.39964,                0.66265,                0.58241,                0.61384,                0.30727,                 1.2413,                 1.3878,                 1.1525,                 1.2012,              0.0012449,              0.0012449,              0.0012449
                      3,                 1.3563,                 1.5986,                 1.2213,                 1.2438,                0.68341,                0.60015,                0.65391,                0.39919,                0.66631,                0.58009,                 0.6192,                0.31298,                 1.2584,                 1.3645,                 1.1346,                 1.2031,              0.0017356,              0.0017356,              0.0017356
                      4,                 1.3497,                 1.5929,                 1.2212,                 1.2465,                 0.6948,                0.60094,                0.65642,                0.40547,                0.67704,                 0.5817,                 0.6203,                0.32078,                  1.249,                 1.3546,                 1.1174,                 1.2145,               0.001604,               0.001604,               0.001604
                      5,                 1.3575,                 1.5811,                 1.2098,                 1.2447,                0.68684,                0.60538,                0.65897,                0.40935,                0.66695,                0.58675,                0.62005,                0.31555,                 1.2343,                 1.3464,                 1.1182,                 1.2044,               0.001604,               0.001604,               0.001604
                      6,                 1.3227,                  1.506,                 1.2138,                 1.2494,                0.68772,                0.60688,                0.66371,                0.41564,                0.67151,                0.58534,                0.62378,                 0.3239,                 1.2253,                  1.337,                 1.0981,                 1.1964,               0.001472,               0.001472,               0.001472
                      7,                 1.3131,                 1.5042,                 1.1907,                 1.2425,                0.68648,                0.61507,                0.66776,                0.42111,                0.66935,                0.59686,                0.63084,                 0.3327,                 1.2138,                 1.3269,                 1.0869,                   1.19,                0.00134,                0.00134,                0.00134
                      8,                  1.303,                 1.4923,                  1.181,                 1.2387,                0.68398,                0.59693,                0.65663,                 0.4077,                0.66614,                0.57764,                0.61972,                0.32041,                 1.2177,                 1.3511,                 1.1248,                 1.1902,               0.001208,               0.001208,               0.001208
                      9,                 1.2882,                 1.4848,                 1.1631,                 1.2283,                0.70882,                0.60876,                0.67822,                0.42609,                0.68944,                0.58989,                0.63733,                0.33535,                 1.2163,                 1.3255,                 1.0789,                 1.1867,               0.001076,               0.001076,               0.001076
                     10,                 1.2796,                 1.4794,                 1.1366,                 1.2234,                0.69407,                0.61174,                0.67474,                0.42505,                 0.6781,                0.59009,                0.63428,                0.33386,                 1.1951,                 1.3165,                 1.0704,                  1.179,               0.000944,               0.000944,               0.000944
                     11,                 1.2623,                 1.4566,                 1.1293,                 1.2164,                0.69973,                0.62376,                0.68238,                0.43347,                0.67982,                0.60458,                0.64252,                0.34202,                 1.1901,                 1.3038,                 1.0523,                 1.1736,               0.000812,               0.000812,               0.000812
                     12,                 1.2559,                 1.4471,                 1.1061,                 1.2131,                0.70892,                0.62602,                0.68974,                0.44089,                0.69238,                0.60661,                0.65158,                0.34628,                 1.1768,                 1.2945,                 1.0416,                 1.1716,                0.00068,                0.00068,                0.00068
                     13,                 1.2396,                 1.4404,                 1.0895,                  1.202,                0.70434,                0.63095,                0.69358,                0.44354,                0.68889,                0.61201,                0.65564,                0.34769,                 1.1762,                 1.2941,                 1.0188,                 1.1634,               0.000548,               0.000548,               0.000548
                     14,                 1.2287,                 1.4344,                 1.0677,                 1.1868,                0.71329,                0.62996,                0.69492,                 0.4469,                0.69852,                 0.6104,                0.65981,                0.35517,                 1.1625,                 1.2921,                 1.0137,                  1.152,               0.000416,               0.000416,               0.000416
                     15,                  1.224,                 1.4185,                  1.064,                 1.1904,                0.72047,                0.63137,                0.69984,                0.44986,                0.70644,                 0.6146,                0.66688,                0.35999,                 1.1636,                 1.2811,                 1.0035,                 1.1582,               0.000284,               0.000284,               0.000284
